,sample,structure,x,y,z,r,parent
0,1,0,4656880.5,5370845.0,3196932.75,1.0,-1
1,2,0,4657177.0,5352579.5,3164315.75,1.0,1
2,3,0,4664646.0,5334314.0,3097104.75,1.0,2
3,4,0,4674810.0,5334314.0,3070417.25,1.0,3
4,5,0,4693029.0,5315441.0,3050649.75,1.0,4
5,6,0,4709763.0,5255167.5,3030882.0,1.0,5
6,7,0,4728286.5,5286216.5,2993321.5,1.0,6
7,8,0,4754575.5,5370236.0,2936983.75,1.0,7
8,9,0,4768021.0,5357755.5,2919192.75,1.0,8
9,10,0,4821794.5,5309353.0,2872737.5,1.0,9
10,11,0,4877364.5,5280738.0,2800583.25,1.0,10
11,12,0,4928154.0,5254558.0,2743255.25,1.0,11
12,13,0,4970575.5,5241773.0,2698778.5,1.0,12
13,14,0,5015693.0,5219855.0,2656276.5,1.0,13
14,16,0,5062896.0,5189413.5,2614763.0,1.0,14
15,63,0,5111591.5,5159884.5,2592030.5,1.0,16
16,128,0,5170747.5,5110872.5,2546563.75,1.0,63
17,140,0,5211380.5,5064298.5,2513946.5,1.0,128
18,150,0,5237075.5,5028681.0,2492200.5,1.0,140
19,157,0,5249622.5,4984540.5,2471444.5,1.0,150
20,167,0,5265154.0,4945271.0,2446733.75,1.0,157
21,176,0,5277107.0,4915743.5,2432897.75,1.0,167
22,181,0,5288755.5,4891695.0,2411151.5,1.0,176
23,206,0,5315044.5,4888650.0,2417083.25,1.0,181
24,190,0,5301607.0,4894128.5,2390395.75,1.0,206
25,183,0,5289060.0,4878300.5,2380511.0,1.0,190
26,162,0,5257388.0,4884997.5,2341964.0,1.0,183
27,149,0,5233489.5,4907827.5,2334056.0,1.0,162
28,135,0,5199130.5,4909351.0,2313300.0,1.0,149
29,126,0,5168654.0,4910568.0,2299462.25,1.0,135
30,209,0,5317435.0,4891695.0,2415104.75,1.0,206
31,199,0,5310864.5,4898392.0,2394349.0,1.0,209
32,200,0,5311013.0,4893521.0,2391878.25,1.0,199
33,201,0,5311161.5,4888650.0,2389407.5,1.0,200
34,197,0,5304591.5,4880126.5,2387431.0,1.0,201
